owner_or_slug,project_slug,commit_version,not_one_shot_records_counting_duplicates,source_dirs,trajectory_classifications
django/django,django-django,e95468ed97b1c250939da316218c39dad577ba32,2,executionagent-runs-gpt4o;executionagent-runs-gpt54,failed_after_project_retries:1;succeeded_after_internal_repair:1
dmlc/xgboost,dmlc-xgboost,e8fa612c9cfedd451958052422abadc0486dd937,2,executionagent-runs-gpt4o;executionagent-runs-gpt54,failed_after_project_retries:1;succeeded_after_internal_repair:1
dstl/Stone-Soup,dstl-stone-soup,4b6bd37813d4c96e3efa63847ab3f1ea7153a508,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_after_project_retries:1;failed_in_project_run:1
encode/starlette,encode-starlette,2d0dde8,2,installamatic-runs;installamatic-runs-rerun-failures-2,failed_in_project_run:1;succeeded_after_internal_repair:1
explosion/spaCy,explosion-spacy,30f1f33,2,installamatic-runs;installamatic-runs-rerun-failures-2,failed_in_project_run:1;succeeded_after_internal_repair:1
falconry/falcon,falconry-falcon,cae50da40454a361fec84e58d4b44bedc5b6c0cd,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_in_project_run:1;succeeded_after_internal_repair:1
fsspec/filesystem_spec,fsspec-filesystem-spec,3ff5fcaff6a4845cdd1985594120105fb35ceb51,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_in_project_run:1;succeeded_after_project_retry:1
getmoto/moto,getmoto-moto,255d2b8,2,installamatic-runs;installamatic-runs-rerun-failures-2,failed_in_project_run:1;succeeded_after_internal_repair:1
google/guava,google-guava,bcc93d2336071021352a39cb8bd7227bcf537182,2,executionagent-runs-gpt4o;executionagent-runs-gpt54,failed_in_project_run:1;succeeded_after_project_retry:1
keras-team/keras,keras-team-keras,12401004073345c30917d43f0a5ba3a473ebe8b1,2,executionagent-runs-gpt4o;executionagent-runs-gpt54,failed_after_project_retries:1;failed_in_project_run:1
madmaze/pytesseract,madmaze-pytesseract,df9fce0b5c5ea3cd9182fce8870ab9241d951173,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-5.4-multiblock,succeeded_after_internal_repair:1;succeeded_after_project_retry:1
microsoft/TypeScript-Vue-Starter,microsoft-typescript-vue-starter,c4517422dac9a539f899d11709ca9f560e51937b,2,setupbench-runs-all-gpt-4.1;setupbench-runs-all-gpt-4.1-2rerun,failed_in_project_run:1;succeeded_after_project_retry:1
