source_dir,project_slug,owner_repo,case_key,ok,trajectory_classification,project_attempt_classification,run_dir,record_kinds,non_adjacent_record_count,runtime_event_count,final_graph_record_count,skipped_blocks_union,non_adjacent_edges,notes
executionagent-runs-gpt54,facebook-react,facebook/react,facebook/react@b061b597f77c979531a3f2c9c04ba435342b0043,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/facebook-react/react/runs/executionagent-react,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,google-guava,google/guava,google/guava@bcc93d2336071021352a39cb8bd7227bcf537182,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/google-guava/guava/runs/executionagent-guava,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->30-java-deps:previous | 30-java-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/keras-team-keras/keras/runs/executionagent-keras,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-python-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous",true_non_adjacent
executionagent-runs-gpt54,mermaid-js-mermaid,mermaid-js/mermaid,mermaid-js/mermaid@019ee818db2648a1856f2f18533fa62a7d8fbb49,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/mermaid-js-mermaid/mermaid/runs/executionagent-mermaid,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,nestjs-nest,nestjs/nest,nestjs/nest@845993d22a8c8be94986509fec4780027dfdbd53,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/nestjs-nest/nest/runs/executionagent-nest,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,pandas-dev-pandas,pandas-dev/pandas,pandas-dev/pandas@944c527c0a7488df038b545f1ff38affae2f648c,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/pandas-dev-pandas/pandas/runs/executionagent-pandas,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-python-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 02-python-deps->03-build-test-prep:previous | 00-preflight->20-python-runtime:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,pytest-dev-pytest,pytest-dev/pytest,pytest-dev/pytest@fa6a232d529b33f6388dc788d7613cf206c08130,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/pytest-dev-pytest/pytest/runs/executionagent-pytest,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->20-python-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/reactivex-rxjava/RxJava/runs/executionagent-rxjava,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-language-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->21-gradle-toolchain:previous | 21-gradle-toolchain->30-java-deps:previous",true_non_adjacent
executionagent-runs-gpt54,scikit-learn-scikit-learn,scikit-learn/scikit-learn,scikit-learn/scikit-learn@a1cae3ea26d4703f7eedd79464c18e6825c8f2cc,False,failed_after_project_retries,failed_after_project_retries,executionagent-runs-gpt54/state/scikit-learn-scikit-learn/scikit-learn/runs/executionagent-scikit-learn,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-python-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 02-python-deps->03-build-test-prep:previous | 00-preflight->20-python-runtime:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
executionagent-runs-gpt54,scipy-scipy,scipy/scipy,scipy/scipy@a2da2bdbe85a1e46b2b94e8b5c5569783d9e84bd,True,succeeded_after_project_retry,succeeded_after_project_retry,executionagent-runs-gpt54/state/scipy-scipy/scipy/runs/executionagent-scipy,final_checkpoint_graph_non_adjacent,1,0,1,01-system-deps;02-python-deps;03-build-test-prep,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 02-python-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
