record_kind,source_dir,project_slug,owner_repo,case_key,ok,run_dir,edge_direction,from_block,from_order,to_block,to_order,skipped_blocks,event_lines,edge_summary,notes
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,facebook-react,facebook/react,facebook/react@b061b597f77c979531a3f2c9c04ba435342b0043,True,executionagent-runs-gpt54/state/facebook-react/react/runs/executionagent-react,baseline_checkpoint_dependency,00-preflight,,20-node-runtime,20,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->20-node-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-node-runtime->30-node-deps:previous | 30-node-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,scipy-scipy,scipy/scipy,scipy/scipy@a2da2bdbe85a1e46b2b94e8b5c5569783d9e84bd,True,executionagent-runs-gpt54/state/scipy-scipy/scipy/runs/executionagent-scipy,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,01-system-deps;02-python-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 02-python-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,scikit-learn-scikit-learn,scikit-learn/scikit-learn,scikit-learn/scikit-learn@a1cae3ea26d4703f7eedd79464c18e6825c8f2cc,False,executionagent-runs-gpt54/state/scikit-learn-scikit-learn/scikit-learn/runs/executionagent-scikit-learn,baseline_checkpoint_dependency,00-preflight,,20-python-runtime,20,01-system-deps;02-python-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-python-deps:previous | 02-python-deps->03-build-test-prep:previous | 00-preflight->20-python-runtime:non_adjacent(skip=01-system-deps,02-python-deps,03-build-test-prep) | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,google-guava,google/guava,google/guava@bcc93d2336071021352a39cb8bd7227bcf537182,True,executionagent-runs-gpt54/state/google-guava/guava/runs/executionagent-guava,baseline_checkpoint_dependency,00-preflight,,10-system-packages,10,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->10-system-packages:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 10-system-packages->20-java-runtime:previous | 20-java-runtime->30-java-deps:previous | 30-java-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,executionagent-runs-gpt54,pytest-dev-pytest,pytest-dev/pytest,pytest-dev/pytest@fa6a232d529b33f6388dc788d7613cf206c08130,True,executionagent-runs-gpt54/state/pytest-dev-pytest/pytest/runs/executionagent-pytest,baseline_checkpoint_dependency,00-preflight,,20-python-runtime,20,01-system-deps;02-language-deps;03-build-test-prep,,"BASE->00-preflight | 00-preflight->01-system-deps:previous | 01-system-deps->02-language-deps:previous | 02-language-deps->03-build-test-prep:previous | 00-preflight->20-python-runtime:non_adjacent(skip=01-system-deps,02-language-deps,03-build-test-prep) | 20-python-runtime->30-python-deps:previous | 30-python-deps->50-test-tooling:previous",true_non_adjacent
final_checkpoint_graph_non_adjacent,projects-repo2run,instructlab,,instructlab,False,projects-repo2run/instructlab/.pheragent/runs/repo2run-gpt-4o-20241120-instructlab,baseline_checkpoint_dependency,20-python-runtime,,30-python-deps,30,50-test-tooling,,BASE->00-preflight | 00-preflight->20-python-runtime:previous | 20-python-runtime->30-python-deps:non_adjacent(skip=50-test-tooling),input_marked_non_adjacent_but_recomputed_previous_only
runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,True,executionagent-runs-gpt4o/state/reactivex-rxjava/RxJava/runs/executionagent-gpt4o-rxjava,execution_time_backjump,20-java-runtime,20,00-preflight,0,01-java-deps,6-7->8-10,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-10,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,msgpack-msgpack-c,msgpack/msgpack-c,msgpack/msgpack-c@b0d379a6f29af7dd65423ff78a94de8948f01bd8,False,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,execution_time_backjump,20-native-build-config,20,00-preflight,0,10-system-packages,8-9->10-20,20-native-build-config[3/20]->00-preflight[1/0] skip=10-system-packages lines=8-9->10-20,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,False,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,execution_time_backjump,21-java-runtime,21,10-system-packages,10,20-node-runtime,12-13->14-24,21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=12-13->14-24,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,False,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,execution_time_backjump,21-java-runtime,21,10-system-packages,10,20-node-runtime,60-61->62-72,21-java-runtime[4/21]->10-system-packages[2/10] skip=20-node-runtime lines=60-61->62-72,missed_by_final_checkpoint_graph
